task_id,task_name,task_description,num_rollouts,num_successes,success_rate
0,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet,close the top drawer of the cabinet,20,0,0.0000
1,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it,close the top drawer of the cabinet and put the black bowl on top of it,20,0,0.0000
2,KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,put the black bowl in the top drawer of the cabinet,20,0,0.0000
3,KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it,put the butter at the back in the top drawer of the cabinet and close it,20,0,0.0000
4,KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it,put the butter at the front in the top drawer of the cabinet and close it,20,0,0.0000
5,KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it,put the chocolate pudding in the top drawer of the cabinet and close it,20,0,0.0000
6,KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet,open the bottom drawer of the cabinet,20,3,0.1500
7,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet,open the top drawer of the cabinet,20,2,0.1000
8,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it,open the top drawer of the cabinet and put the bowl in it,20,0,0.0000
9,KITCHEN_SCENE1_put_the_black_bowl_on_the_plate,put the black bowl on the plate,20,0,0.0000
10,KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet,put the black bowl on top of the cabinet,20,0,0.0000
11,KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet,open the top drawer of the cabinet,20,0,0.0000
12,KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate,put the black bowl at the back on the plate,20,5,0.2500
13,KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate,put the black bowl at the front on the plate,20,0,0.0000
14,KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate,put the middle black bowl on the plate,20,0,0.0000
15,KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet,put the middle black bowl on top of the cabinet,20,0,0.0000
16,KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle,stack the black bowl at the front on the black bowl in the middle,20,0,0.0000
17,KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl,stack the middle black bowl on the back black bowl,20,0,0.0000
18,KITCHEN_SCENE3_put_the_frying_pan_on_the_stove,put the frying pan on the stove,20,0,0.0000
19,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove,put the moka pot on the stove,20,10,0.5000
20,KITCHEN_SCENE3_turn_on_the_stove,turn on the stove,20,4,0.2000
21,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it,turn on the stove and put the frying pan on it,20,0,0.0000
22,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet,close the bottom drawer of the cabinet,20,18,0.9000
23,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer,close the bottom drawer of the cabinet and open the top drawer,20,0,0.0000
24,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet,put the black bowl in the bottom drawer of the cabinet,20,20,1.0000
25,KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet,put the black bowl on top of the cabinet,20,0,0.0000
26,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet,put the wine bottle in the bottom drawer of the cabinet,20,0,0.0000
27,KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack,put the wine bottle on the wine rack,20,0,0.0000
28,KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet,close the top drawer of the cabinet,20,8,0.4000
29,KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,put the black bowl in the top drawer of the cabinet,20,3,0.1500
30,KITCHEN_SCENE5_put_the_black_bowl_on_the_plate,put the black bowl on the plate,20,0,0.0000
31,KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet,put the black bowl on top of the cabinet,20,0,0.0000
32,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet,put the ketchup in the top drawer of the cabinet,20,0,0.0000
33,KITCHEN_SCENE6_close_the_microwave,close the microwave,20,13,0.6500
34,KITCHEN_SCENE6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug,put the yellow and white mug to the front of the white mug,20,0,0.0000
35,KITCHEN_SCENE7_open_the_microwave,open the microwave,20,0,0.0000
36,KITCHEN_SCENE7_put_the_white_bowl_on_the_plate,put the white bowl on the plate,20,0,0.0000
37,KITCHEN_SCENE7_put_the_white_bowl_to_the_right_of_the_plate,put the white bowl to the right of the plate,20,0,0.0000
